tanggal_publis,nama,komentar,likeCount
2023-12-21T02:24:01Z,@meyamelia803,"Sangat jelas AMIN adalah cerminan pemimpin masa depan , mudah2an Indonesia tentram dan adil jika dipimipin AMIN",0.0
2023-12-21T02:23:03Z,@meyamelia803,Doa terbaik buat pasangan AMIN semoga bisa jadi pemimpin di tahun 2024 nanti,0.0
2023-12-21T02:18:53Z,@DindaAuliya-ke1,"AMIN adalah pasangan yang ideal sebagai capres dan cawapres. Kombinasi visi, komitmen, dan pengalaman keduanya dapat membawa perubahan positif dan kemajuan bagi negara. Semoga sukses dalam misi mereka untuk Indonesia",0.0
2023-12-20T16:14:54Z,@MarcelBayu,"Dari ketiga Paslon Capres dan Cawapres, Pasangan AMIN 01 lah yang Paling ideal untuk jadi Capres dan Cawapres,, Karena Saling Melengkapi dan saling menyempurnakan satu sama lain",1.0
2023-12-20T16:13:56Z,@MarcelBayu,semakin yakin pilih AMIN untuk perubahan Indonesia,1.0
2023-12-20T16:13:21Z,@MarcelBayu,"dari cara Pak Anies menjawab yang Cerdas, mengindikasikan bahwa Pak Anies begitu memahami dan mengusai persoalannya sehingga bisa memaparkan dengan jelas, AMIN 01 Untuk Indonesia Maju",0.0
2023-12-20T16:12:36Z,@MarcelBayu,"sebagai anak muda yang cerdas, Pasti ALL IN AMIN untuk Perubahan Indonesia",0.0
2023-12-20T16:11:57Z,@MarcelBayu,anak muda yang cerdas pasti Pilih AMIN untuk Indonesia Maju,1.0
2023-12-20T16:11:11Z,@MarcelBayu,"Tampaknya hanya program kerja AMIN yang realistis dan dapat terwujud,, Mengingat rekam jejak Pak Anies selama menjadi Gubernur Jakarta",0.0
2023-12-20T16:10:36Z,@MarcelBayu,Tetap AMIN yang ada dihati masyarakat indonesia,0.0
2023-12-20T16:09:52Z,@MarcelBayu,"Bismillah AMIN 01 The Next Presiden Indonesia, Menang 1 Putaran",0.0
2023-12-20T16:09:16Z,@MarcelBayu,Pasangan AMIN adalah Pasangan yang mencerminkan masa Depan Indonesia Maju,0.0
2023-12-20T16:08:16Z,@MarcelBayu,"Doa terbaik untuk AMIN 01, Semoga menang 1 Putaran",1.0
2023-12-20T16:07:16Z,@MarcelBayu,Kami Dari Riau siap dukung Penuh pada AMIN 01,1.0
2023-12-20T15:00:05Z,@febriyandi1824,Saya beserta keluarga besar siap mendukung dan memilih AMIN menjadi presiden Indonesia,0.0
2023-12-20T14:58:54Z,@febriyandi1824,Saya beserta keluarga besar siap mendukung dan memilih AMIN menjadi presiden Indonesia,0.0
2023-12-20T14:54:22Z,@mdtunuciwaringin6119,Mantap pak Anies.  Keluarga besar saya siap untuk pilih pasangan AMIN untuk 1 putaran.,0.0
2023-12-20T14:52:31Z,@mdtunuciwaringin6119,Pasangan AMIN capres dan cawapres yang paling pas dan melengkapi.,0.0
2023-12-20T14:51:17Z,@mdtunuciwaringin6119,Program kerja pasangan AMIN sangat bagus sekali. Apalagi dilihat dari rekam jejaknya juga bagus..,0.0
2023-12-20T14:50:10Z,@mdtunuciwaringin6119,Pak Anies sangat pas dan ideal sekali jadi pemimpin Indonesia baik dari segi fisik beliau yang sangat fix dan kecerdasan beliau..,0.0
2023-12-20T14:21:34Z,@febriyandi1824,"Pak Anies Baswedan adalah pemimpin yang amanah rendah hati, selalu mementingkan rakyat",0.0
2023-12-20T14:05:35Z,@classyclassyagnia,"Bismillah mudah2an an pasangan AMIN Menang dan jadi pemimpin di 2024 nanti ,amin",1.0
